
🚀 oneceo.ai API Server
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📡 API server running on http://localhost:4000
🔌 WebSocket server running on ws://localhost:4000
🔌 Task Creation WebSocket: ws://localhost:4000/ws/task-creation
🏥 Health check: http://localhost:4000/health
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

✅ 数据库连接成功
[2026-02-18T11:14:31.159Z] GET /health
[2026-02-18T11:41:47.520Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:41:47.544Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:41:47.549Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:41:50.748Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:41:53.144Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:41:53.149Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:41:53.151Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:41:55.980Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:45:49.546Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:45:49.559Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:45:49.561Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:28.705Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:28.719Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:28.723Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:45.862Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:45.872Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:45.877Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:48.151Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:50.566Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:50.576Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:50.578Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:53.249Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:55.444Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:55.455Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:55.480Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:46:58.107Z] POST /api/llm-proxy/v1/chat/completions
[2026-02-18T11:48:29.826Z] GET /api/task-creation/sessions
[2026-02-18T11:48:29.860Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7
[2026-02-18T11:48:29.862Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/messages
[2026-02-18T11:48:29.862Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/intent
[2026-02-18T11:48:29.866Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/task-description
[2026-02-18T11:48:29.867Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/execution-plan
[2026-02-18T11:48:29.868Z] GET /api/task-creation/sessions
[2026-02-18T11:48:30.512Z] GET /api/task-creation/sessions
[2026-02-18T11:48:30.513Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7
[2026-02-18T11:48:30.513Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/messages
[2026-02-18T11:48:30.513Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/intent
[2026-02-18T11:48:30.514Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/task-description
[2026-02-18T11:48:30.515Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/execution-plan
[2026-02-18T11:48:31.038Z] GET /api/task-creation/sessions
[2026-02-18T11:48:31.039Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7
[2026-02-18T11:48:31.039Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/messages
[2026-02-18T11:48:31.039Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/intent
[2026-02-18T11:48:31.039Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/task-description
[2026-02-18T11:48:31.040Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/execution-plan
[2026-02-18T11:49:29.195Z] GET /api/sandbox/health
[2026-02-18T11:49:29.199Z] GET /api/sandbox/environment
✅ 数据库连接成功
[2026-02-18T11:49:29.706Z] GET /health
[2026-02-18T11:49:29.706Z] GET /api/agents/health
[2026-02-18T11:49:29.707Z] GET /api/task-creation/sessions
[2026-02-18T11:49:30.014Z] GET /api/task-creation/sessions
[2026-02-18T11:49:30.015Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7
[2026-02-18T11:49:30.015Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/messages
[2026-02-18T11:49:30.015Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/intent
[2026-02-18T11:49:30.016Z] GET /api/task-creation/sessions/5953ac18-58a6-4395-a3b9-2025cc929ab7/task-description
